;01.01.10;01.01.20;01.02.10;01.02.20;01.02.30;01.02.40;01.03.10;01.03.20;01.03.30;01.04.10;01.20.10;01.20.20;01.61.10;01.81.10;01.81.20;01.82.10;01.82.20;01.82.30;01.83.10;01.83.20;01.83.30;01.84.10;01.85.10;01.86.10;01.88.10;01.88.20;01.H;02.01.10;02.01.20;02.02.10;02.02.20;02.02.30;02.02.40;02.03.10;02.03.20;02.03.30;02.04.10;02.62.10;02.81.10;02.81.20;02.82.10;02.82.20;02.82.30;02.83.10;02.83.20;02.83.30;02.84.10;02.85.10;02.86.10;02.H;03.01.10;03.01.20;03.02.10;03.02.20;03.02.30;03.02.40;03.03.10;03.03.20;03.03.30;03.04.10;03.62.10;03.81.10;03.81.20;03.82.10;03.82.20;03.82.30;03.83.10;03.83.20;03.83.30;03.84.10;03.85.10;03.86.10;03.H;04.05.10;04.63.10;04.64.10;04.65.10;04.73.10;04.82.10;04.82.20;04.82.30;04.83.10;04.83.20;04.83.30;04.84.10;04.85.10;04.86.10;04.88.10;04.88.20;04.H;05.01.10;05.01.20;05.02.10;05.02.20;05.02.30;05.02.40;05.03.10;05.03.20;05.03.30;05.04.10;05.06.10;05.06.20;05.06.30;05.07.10;05.07.20;05.07.30;05.07.40;05.15.10;05.81.10;05.81.20;05.82.10;05.82.20;05.82.30;05.83.10;05.83.20;05.83.30;05.84.10;05.85.10;05.86.10;05.H;06.08.10;06.08.20;06.08.30;06.81.10;06.81.20;06.82.10;06.82.20;06.82.30;06.83.10;06.83.20;06.83.30;06.84.10;06.85.10;06.86.10;06.88.10;06.88.10;06.H;07.66.20;07.67.10;07.67.20;07.68.10;07.69.10;07.70.10;07.71.10;07.71.20;07.80.10;07.80.20;07.87.10;07.88.10;07.88.20;07.H;08.09.10;08.09.20;08.10.10;08.10.20;08.10.30;08.11.10;08.11.15;08.11.20;08.11.30;08.11.40;08.11.50;08.11.60;08.11.70;08.11.80;08.11.90;08.12.10;08.13.10;08.13.20;08.13.30;08.13.40;08.13.50;08.14.10;08.14.20;08.72.10;08.75.10;08.83.10;08.83.20;08.83.30;08.84.10;08.85.10;08.86.10;08.88.10;08.88.20;08.H;09.01.10;09.01.20;09.02.10;09.02.20;09.02.30;09.02.40;09.03.10;09.03.20;09.03.30;09.81.10;09.81.20;09.82.10;09.82.20;09.82.30;09.83.10;09.83.20;09.83.30;09.84.10;09.85.10;09.86.10;09.89.10;09.H;10.39.10;10.39.20;10.39.30;10.83.10;10.83.20;10.83.30;10.84.10;10.85.10;10.86.10;10.H;11.32.10;11.33.10;11.82.10;11.82.20;11.82.30;11.83.10;11.83.20;11.83.30;11.84.10;11.85.10;11.86.10;11.H;12.35.10;12.35.20;12.35.30;12.35.40;12.35.50;12.35.60;12.35.70;12.36.10;12.82.10;12.82.20;12.82.30;12.83.10;12.83.20;12.83.30;12.85.10;12.86.10;12.H;13.31.10;13.31.20;13.31.30;13.38.10;13.38.20;13.82.10;13.82.20;13.82.30;13.H;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0599;19910201;W;;19910201;Dorpsweg;;54;;;;3083LC;;;;;;;;;;;;A;;;;;;19910201;19940310;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0947;19590417;W;;19590417;Achillesstraat;;28;;;;6165RA;;;;;;;;;;;;A;;;;;;19590417;19940310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lg01_409;3093546905;999991723;Lukas;;;Klamer;19950515;1904;6030;M;;;E;1904;10A1112;;;;;;;;19950515;19950516;;;;;;Lisette;;;Wolf;19520320;Clermont-Ferrand;5002;V;19990418;1904;10A1112;;;;;;;;19950515;19950516;;;;Ben;;;Klamer;19720525;0400;6030;M;19950515;1904;10A1112;;;;;;;;19950515;19950516;;0001;017;;;;;;;;;;;19950515;19950516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19950515;1810;0;;;0009;20210525153015000;P;;;;1810;20000610;W;;20000610;Van Wijngaerdenstraat;Van Wijngaerdenstraat;1;;;;2596TW;Toetsoog;1810010010001001;1810200010001001;;;;;;;;;T;;;;;;20000610;20000610;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NI;IX34JH673;20210526;B1810;20220526;;;;1810;20210526;Aanvraag ENIK;;;;20210526;20210526;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1810;19950515;W;;19950515;Van Wijngaerdenstraat;;1;;;;2596TW;;;;;;;;;;;;A;;;;;;19950515;19950516;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lg01_593;5212476312;999992740;Jael;;de;Jager;20000101;0518;6030;V;;;E;;;0518;20000106;Melding Minister van Financiën;;;;;20000106;20000106;;;51;6283752985;999994785;Anita;;;Jansen;19710101;0530;6030;V;20000101;0518;1AA0007;;;;;;;;20000101;20000101;;6892584067;999994931;Jan;;de;Jager;19701201;0530;6030;M;20000101;0518;1AA0007;;;;;;;;20000101;20000101;;0001;017;;;;;;;;;;;20000101;20000101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20000101;;0;;;0007;20210719123600000;P;;;;0518;20000101;W;;20000101;Leyweg;Leyweg;1485;;;;2584AE;'s-Gravenhage;0518010000817227;0518200000617226;;;;;;;;;T;;;;;;20111113;20111113;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PN;NTLBCL731;20201203;B0518;20301203;;;;0518;20201203;Aanvraagformulier reisdocument;;;;20201203;20201203;12;;;;;;;;;;
;5212476312;;Jael;;de;Jager;20000101;0518;6030;V;;;E;0518;1AA0007;;;;;;;;20000101;20000101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0518;20000101;W;;20000101;Leyweg;;1485;;;;2584AE;;;;;;;;;;;;A;;;;;;20000101;20000101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NI;IR7LK4HB7;20201203;B0518;20301203;;;;0518;20201203;Aanvraagformulier reisdocument;;;;20201203;20201203;12;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PN;NV7968PR6;20200306;B0518;20300306;20201203;I;;0518;20200306;Aanvraagformulier reisdocument;;;;20201203;20201203;12;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NI;IKCRH28L9;20200212;B0518;20300212;20201203;I;;0518;20200212;Aanvraagformulier reisdocument;;;;20201203;20201203;12;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PN;NM0RPJD72;20200228;B0518;20300228;20200306;I;;0518;20200228;Aanvraagformulier reisdocument;;;;20200306;20200306;;;;;;;;;;;
Lg01_492;3794872645;999999333;Nasier;;;Boeddhoe;19500919;Amritsar;7046;M;;;E;;;0518;19940310;PKA;;;;;19500919;19951001;;;;;;Indira;;;Chaterjee;00000000;Amritsar;7046;V;19500919;;;0518;19940310;PK;;;;;19500919;19940310;;;;Panda;;;Boeddhoe;19300703;Amritsar;7046;M;19500919;;;0518;19940310;PK;;;;;19500919;19940310;;0312;301;;;;0518;19940310;PK;;;;;19500919;19940310;;;;8240421959;999993240;Sherida;;;Malhoe;19500101;Paramaribo;5007;V;;;;20000308;0518;6030;S;P;0518;5AB0040;;;;;;;;20000308;20000308;55;;;;;;;;;;;;;;;;;;;;;19940310;0518;0;;;0005;20210719132009000;P;;;;0518;19900427;W;;20000228;Anna van Saksenlaan;Anna van Saksenlaan;71;;;;2593HW;'s-Gravenhage;0518010000784987;0518200000784986;;;;;;;7046;19900427;T;;;;;;20111101;20111101;;;58;;;;;;;;;;;;;;;;;;;;;;;21;20150530;20100530;;;;;20110130;20110131;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8240421959;999993240;Sherida;;;Malhoe;19500101;Paramaribo;5007;V;19980201;0518;6030;;;;;P;0518;5AA0040;;;;;;;;19980201;19980201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0518;19900427;W;;20000228;Anna van Saksenlaan;;71;;;;2593HW;;;;;;;;;;7046;19900427;I;;;;;;20000228;20000301;;;58;;;;;;;;;;;;;;;;;;;;;;;26;20110501;20060501;;;;;20060715;20060717;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0518;19900427;W;;19900427;Erasmusweg;;471;;;;2532CN;;;;;;;;;;7046;19900427;A;;;;;;19900427;19940310;;;58;;;;;;;;;;;;;;;;;;;;;;;26;20060501;20010501;;;;;20010615;20010618;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;;19940701;;;;;19940701;20001115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lg01_442;8156137049;999993793;Rodney;;;Plieger;19700311;0262;6030;M;;;E;;;0363;19960315;Minister van Financiën;;;;;19960315;19960315;;;51;;;Wina;;;Plieger;19321130;1210;6030;V;19700311;0262;10A1234;;;;;;;;19700311;19960314;;;;;;;;;;;;;0262;10A1234;;;;;;;;19700311;19960314;;0001;001;;;;;;;;;;;19700311;19960314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19960314;;0;;;0004;20160901123600000;;;;;0363;19960314;W;Oud-Zuid;19960314;Daniël Stalpertstraat;;35;;III;;1072XA;;;;;;;;;;7036;19960314;I;;;;;;19960314;19960314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PN;IVJ197009;20110128;B0363;20160128;;;;0363;20110207;Aanvraagformulier reisdocument;;;;20110128;20110207;;;;;;;;;;;
;8156137049;;Rodney;;;Plieger;19700311;0262;6030;M;;;E;0262;10A1234;;;;;;;;19700311;19960314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lg01_431;9603704618;999994542;Gerrit;;den;Braber;19680318;0518;6030;M;;;E;;;0518;19940930;PKA;;;;;19680318;19951001;;;;;;Maria Evelien;;;Dijkmans;19440124;0344;6030;V;19680318;;;0518;19940930;PK;;;;;19680318;19940310;;;;Johannes;;den;Braber;19380819;0518;6030;M;19680318;;;0518;19940930;PK;;;;;19680318;19940930;;0001;001;;;;0518;19940930;PK;;;;;19680318;19940930;;;;2363230194;999993112;Wilma;;van;Zon;19700407;0599;6030;V;19970903;0518;6030;;;;;H;0518;3AA0100;;;;;;;;19970903;19970905;;;;;;;;;;;;;;;;;;;;;;19940930;0518;0;;;0005;20210217123600000;P;;;;0363;19970302;W;;19970302;Schakelstraat;Schakelstraat;14;;H;;1014AW;Amsterdam;0363010000805805;0363200000264601;;;;;;;;;T;;;;;;20111101;20111101;;;58;2341946301;999995807;Zoey;;den;Braber;20181114;0363;6030;0363;1HA0331;;;;;;;;20181114;20181114;;09;;;;;;;;;;;;;;;;;;;;;;;NI;ID7154749;20110110;B0518;20160110;;;;0518;20110117;Aanvraagformulier;;;;20110110;20110117;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0363;19970302;W;;19970302;Schakelstraat;;14;;H;;1014AW;;;;;;;;;;;;I;;;;;;19970302;19970305;;;58;5679786034;999995832;Alexander;;den;Braber;20090529;0363;6030;0363;1HA0331;;;;;;;;20090529;20090529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0518;19680318;W;;19920201;Jacob Catsstraat;;325;;;;2515GK;;;;;;;;;;;;A;;;;;;19920201;19940930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lg01_660;9090385019;999995078;Christina Maria;;;Maassen;19280905;1033;6030;V;;;V;;;0599;19940930;PKA;;;;;19530605;19951001;;;;4047389513;;Maria Gertrudis;;;Pluis;18990404;1033;6030;V;19280905;;;0599;19940930;PK;;;;;19280905;19940930;;2149282385;;Pieter Jozef Hubert;;;Maassen;18980102;1033;6030;M;19280905;;;0599;19940930;PK;;;;;19280905;19940930;;0001;001;;;;0599;19940930;PK;;;;;19280905;19940930;;;;9473940676;999993021;Leonardus Fredericus;;;Kierkegaard;19260505;0835;6030;M;19530605;0603;6030;;;;;H;;;0599;19940930;PK;;;;;19530605;19951001;;;;;;;;;;;;;;;;;;;;;;19940930;0599;0;;;0004;20210806171500000;P;;;;0599;19860722;W;;19860722;Noorderhagen;Noorderhagen;1;;;;3078CE;Rotterdam;0599010000210181;0599200000382176;;;;;;;;;T;;;;;;20111101;20111101;;;58;5875306514;999991929;Yvonne Johanna;;;Wesseling;19561115;0518;6030;;;0599;20020424;PL gerelateerde;;;;;20020424;20020424;;59;;;;;;;;;;;;;;;;;;;;;;;PN;NT77B2FL7;20201203;B0599;20301203;;;;0599;20201203;Aanvraagformulier reisdocument;;;;20201203;20201203;12;;;;;;;;;;
